epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2274,1.46808,4.14607,1.40731,0.00083,0.2,0.00057,0.00029,2.05931,4.71768,2.25044,0,0,0
2,24.6279,1.32244,4.01036,1.34331,0.00083,0.2,0.00057,0.00029,1.97366,4.55377,2.0971,1.9604e-05,1.9604e-05,1.9604e-05
3,32.0763,1.08632,3.90299,1.17483,0.00167,0.4,0.00145,0.00038,1.80515,4.38575,1.87318,3.8416e-05,3.8416e-05,3.8416e-05
4,38.716,1.23562,3.85309,1.19706,0.00167,0.4,0.00345,0.00113,1.53814,4.04913,1.62044,5.6436e-05,5.6436e-05,5.6436e-05
5,45.0757,1.05576,3.89598,1.14775,0.0025,0.6,0.0238,0.01333,1.37309,4.02457,1.37676,7.3664e-05,7.3664e-05,7.3664e-05
6,51.3136,1.04595,3.71561,0.97193,0.0025,0.6,0.02947,0.01587,1.20533,3.78487,1.15917,9.01e-05,9.01e-05,9.01e-05
7,57.9879,1.03595,3.46368,1.0005,0.0025,0.6,0.22201,0.12306,1.1592,3.57723,1.00708,0.000105744,0.000105744,0.000105744
8,64.3579,0.84076,3.32347,0.9058,0.0025,0.6,0.54551,0.34203,1.13477,3.45733,0.95134,0.000120596,0.000120596,0.000120596
9,70.847,0.89188,3.14431,0.91112,0.0025,0.6,0.59551,0.38666,1.19116,3.45509,0.96021,0.000134656,0.000134656,0.000134656
10,77.6689,0.82978,3.22124,0.96125,0.00333,0.8,0.65964,0.37752,1.18415,3.47631,1.00156,0.000147924,0.000147924,0.000147924
11,84.5359,0.78973,2.85398,0.92266,0.00333,0.8,0.67868,0.40824,1.09558,3.45808,1.00321,0.0001604,0.0001604,0.0001604
12,90.9469,0.92295,2.76812,0.90148,0.00333,0.8,0.72868,0.48251,1.05258,3.50004,1.00619,0.000172084,0.000172084,0.000172084
13,97.4337,0.86913,2.78463,0.91089,0.00333,0.8,0.70964,0.47299,1.09541,3.50009,0.97632,0.000182976,0.000182976,0.000182976
14,103.55,0.83235,2.51423,0.90474,0.00333,0.8,0.64535,0.39906,1.19683,3.4976,0.95942,0.000193076,0.000193076,0.000193076
15,109.888,0.95529,2.4868,0.99891,0.00333,0.8,0.63424,0.39323,1.28204,3.51963,0.97157,0.000202384,0.000202384,0.000202384
16,116.727,0.98672,2.30405,0.94248,0.00333,0.8,0.62535,0.36874,1.26825,3.47939,0.95818,0.0002109,0.0002109,0.0002109
17,123.035,0.97497,2.16425,0.96475,0.00333,0.8,0.61535,0.36604,1.27547,3.48248,0.93968,0.000218624,0.000218624,0.000218624
18,129.233,0.99891,2.36633,0.99103,0.00333,0.8,0.61535,0.36604,1.27547,3.48248,0.93968,0.000225556,0.000225556,0.000225556
19,135.668,0.97706,1.96286,0.98864,0.00333,0.8,0.62392,0.40446,1.18757,3.37087,0.96821,0.000231696,0.000231696,0.000231696
20,141.828,0.89144,1.88867,0.97335,0.00333,0.8,0.62392,0.40446,1.18757,3.37087,0.96821,0.000237044,0.000237044,0.000237044
21,148.155,0.91116,2.04002,0.95006,0.00333,0.8,0.62964,0.45024,1.17764,3.3384,1.00402,0.0002416,0.0002416,0.0002416
22,154.402,0.89026,1.61742,0.99967,0.00333,0.8,0.62964,0.45024,1.17764,3.3384,1.00402,0.000245364,0.000245364,0.000245364
23,160.765,0.94611,1.90212,1.01229,0.00333,0.8,0.66202,0.45191,1.18958,3.33635,1.02523,0.000248336,0.000248336,0.000248336
24,167.338,0.84226,1.87295,0.91652,0.00333,0.8,0.66202,0.45191,1.18958,3.33635,1.02523,0.000250516,0.000250516,0.000250516
25,173.606,0.87045,2.2169,1.00032,0.00417,1,0.66279,0.4622,1.13341,3.37662,1.02976,0.000251904,0.000251904,0.000251904
26,179.954,0.87187,1.76539,0.91684,0.00417,1,0.66279,0.4622,1.13341,3.37662,1.02976,0.0002525,0.0002525,0.0002525
27,186.233,0.84394,1.43393,0.90417,0.00417,1,0.67949,0.44527,1.08359,3.3286,1.00234,0.000252304,0.000252304,0.000252304
28,192.54,0.81588,1.59006,0.98056,0.00417,1,0.67949,0.44527,1.08359,3.3286,1.00234,0.000251316,0.000251316,0.000251316
29,198.742,0.91456,2.02255,0.9607,0.0053,0.8,0.66286,0.3777,1.16453,3.24399,1.01269,0.000249536,0.000249536,0.000249536
30,204.823,0.919,1.62752,0.97108,0.0053,0.8,0.66286,0.3777,1.16453,3.24399,1.01269,0.000246964,0.000246964,0.000246964
31,211.13,0.81438,1.42311,0.90367,0.63284,0.8,0.6629,0.36241,1.27702,3.22179,1.05829,0.0002436,0.0002436,0.0002436
32,217.309,0.81192,1.62527,0.95723,0.63284,0.8,0.6629,0.36241,1.27702,3.22179,1.05829,0.000239444,0.000239444,0.000239444
33,223.567,0.89835,1.4959,0.9369,0.55206,0.4,0.63055,0.34515,1.2974,3.19636,1.06069,0.000234496,0.000234496,0.000234496
34,229.873,0.68876,1.44536,0.87053,0.55206,0.4,0.63055,0.34515,1.2974,3.19636,1.06069,0.000228756,0.000228756,0.000228756
35,236.388,0.71172,1.57272,0.95116,0.67317,0.4156,0.66059,0.35026,1.34563,3.15882,1.04863,0.000222224,0.000222224,0.000222224
36,242.71,0.82034,1.62685,0.97804,0.67317,0.4156,0.66059,0.35026,1.34563,3.15882,1.04863,0.0002149,0.0002149,0.0002149
