epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1028,1.38974,4.26248,1.59326,0,0,0,0,2.20032,4.7874,2.40291,0,0,0
2,16.9214,1.27044,3.84709,1.33823,0,0,0,0,2.17168,4.58819,2.29909,1.901e-05,1.901e-05,1.901e-05
3,21.3957,1.59133,4.06066,1.52202,0.00111,0.25,0.00081,8e-05,2.07832,4.47223,2.10299,3.604e-05,3.604e-05,3.604e-05
4,25.7001,1.15056,3.88372,1.13753,0.00111,0.25,0.00235,0.00094,1.91677,4.41119,1.7807,5.109e-05,5.109e-05,5.109e-05
5,29.9862,1.1096,3.57975,1.06496,0.00111,0.25,0.01676,0.00838,1.46764,4.08029,1.50642,6.416e-05,6.416e-05,6.416e-05
6,34.2883,1.23324,3.76564,1.13401,0.00111,0.25,0.04126,0.02063,1.26051,4.0062,1.33962,7.525e-05,7.525e-05,7.525e-05
7,38.601,1.02632,3.45808,1.0051,0.00222,0.5,0.09786,0.06692,1.22023,3.87374,1.24045,8.436e-05,8.436e-05,8.436e-05
8,42.8498,0.88914,3.48744,1.00035,0.00222,0.5,0.26829,0.18896,1.13421,3.83063,1.14517,9.149e-05,9.149e-05,9.149e-05
9,47.0785,0.84909,3.58517,0.93738,0.00222,0.5,0.29102,0.17915,1.01964,3.67692,1.05109,9.664e-05,9.664e-05,9.664e-05
10,51.3269,0.87726,3.19651,0.94807,0.00222,0.5,0.37057,0.24084,0.90535,3.59451,0.98211,9.981e-05,9.981e-05,9.981e-05
11,55.6341,0.79081,3.36205,0.96677,0.00222,0.5,0.49557,0.33422,0.85004,3.52798,0.92619,0.000101,0.000101,0.000101
12,59.9219,0.76579,3.61165,0.92221,0.00222,0.5,0.49557,0.29695,0.87845,3.53059,0.9158,0.00010021,0.00010021,0.00010021
13,64.1429,0.75369,3.14667,0.82641,0.00333,0.75,0.49629,0.29753,0.83833,3.46679,0.87705,9.744e-05,9.744e-05,9.744e-05
14,68.3198,0.69548,3.31971,0.89724,0.00333,0.75,0.49663,0.33504,0.75433,3.451,0.86646,9.269e-05,9.269e-05,9.269e-05
15,72.4645,0.77874,3.0265,0.9143,0.00333,0.75,0.49691,0.37253,0.77343,3.47009,0.85819,8.596e-05,8.596e-05,8.596e-05
16,76.6878,0.72786,2.95863,0.8514,0.00333,0.75,0.49705,0.39764,0.86295,3.46894,0.85041,7.725e-05,7.725e-05,7.725e-05
17,80.8328,0.57565,3.07813,0.82599,0.00333,0.75,0.4971,0.39768,0.93839,3.44328,0.85315,6.656e-05,6.656e-05,6.656e-05
18,85.0695,0.74931,2.89336,0.80937,0.00333,0.75,0.4971,0.39768,0.93839,3.44328,0.85315,5.389e-05,5.389e-05,5.389e-05
19,89.2469,0.66492,2.99138,0.88016,0.00333,0.75,0.49717,0.36044,0.98715,3.46461,0.86024,3.924e-05,3.924e-05,3.924e-05
20,93.3773,0.67841,2.68944,0.83841,0.00333,0.75,0.49717,0.36044,0.98715,3.46461,0.86024,2.261e-05,2.261e-05,2.261e-05
